Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,22nF,C_0402_1005Metric,136.144,-69.06,90,top
C2,220nF,C_0402_1005Metric,137.414,-70.894,90,top
C3,22nF,C_0402_1005Metric,118.364,-69.0398,90,top
C4,220nF,C_0402_1005Metric,119.634,-70.838,90,top
C5,10nF,C_0402_1005Metric,120.904,-69.06,-90,top
C6,10nF,C_0402_1005Metric,125.476,-69.116,90,top
C7,150uf,C_Radial_D10.0mm_H12.5mm_P5.00mm,101.6,-89.789,0,top
C8,470nF,C_0402_1005Metric,124.714,-57.94,90,top
C9,470nF,C_0402_1005Metric,125.984,-57.94,90,top
C10,10nF,C_0402_1005Metric,138.684,-69.116,-90,top
C11,10nF,C_0402_1005Metric,143.256,-69.116,90,top
C12,150uf,C_Radial_D10.0mm_H12.5mm_P5.00mm,101.6,-78.74,0,top
C13,470nF,C_0402_1005Metric,142.494,-57.94,90,top
C14,470nF,C_0402_1005Metric,143.764,-57.94,90,top
C15,680uF,C_Radial_D8.0mm_H11.5mm_P3.50mm,91.44,-78.74,0,top
D1,LED,LED_0603_1608Metric,114.554,-76.9875,90,top
D2,LED,LED_0603_1608Metric,120.65,-93.1925,-90,top
D3,LED,LED_0603_1608Metric,126.746,-85.0645,90,top
D4,LED,LED_0603_1608Metric,122.682,-93.2435,-90,top
D5,LED,LED_0603_1608Metric,124.714,-85.0645,90,top
D6,LED,LED_0603_1608Metric,124.714,-93.2475,-90,top
D7,LED,LED_0603_1608Metric,122.682,-85.0645,90,top
D8,LED,LED_0603_1608Metric,126.746,-93.2475,-90,top
D9,LED,LED_0603_1608Metric,120.65,-85.0645,90,top
D10,LED,LED_0603_1608Metric,122.682,-76.9365,90,top
D11,LED,LED_0603_1608Metric,116.586,-85.0645,90,top
D12,LED,LED_0603_1608Metric,114.554,-93.2435,-90,top
D13,LED,LED_0603_1608Metric,114.554,-85.0645,90,top
D14,LED,LED_0603_1608Metric,112.522,-76.9875,90,top
D15,LED,LED_0603_1608Metric,120.65,-76.9365,90,top
D16,LED,LED_0603_1608Metric,112.522,-93.2435,-90,top
D17,LED,LED_0603_1608Metric,112.522,-85.0645,90,top
D18,LED,LED_0603_1608Metric,118.618,-76.9365,90,top
D19,LED,LED_0603_1608Metric,116.586,-76.9875,90,top
D20,LED,LED_0603_1608Metric,118.618,-85.0645,90,top
D21,LED,LED_0603_1608Metric,116.586,-93.2435,-90,top
D22,LED,LED_0603_1608Metric,118.618,-93.2435,-90,top
J1,FLIR,"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical",91.44,-58.42,0,top
J2,Stepper1,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",132.08,-88.9,0,top
J3,Stepper2,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",132.08,-78.74,0,top
J4,PWR,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",93.98,-91.44,-90,top
J5,Sensors,"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical",91.44,-68.58,0,top
R1,30k,R_0402_1005Metric,121.158,-57.148,90,top
R2,10k,R_0402_1005Metric,122.682,-57.152,-90,top
R3,10k,R_0402_1005Metric,140.462,-57.148,-90,top
R4,30k,R_0402_1005Metric,138.938,-57.148,90,top
R5,330,R_0402_1005Metric,114.554,-79.758,-90,top
R6,330,R_0402_1005Metric,120.65,-90.422,90,top
R7,330,R_0402_1005Metric,126.746,-87.886,-90,top
R8,330,R_0402_1005Metric,122.682,-90.422,90,top
R9,330,R_0402_1005Metric,124.714,-87.886,-90,top
R10,330,R_0402_1005Metric,124.714,-90.426,90,top
R11,330,R_0402_1005Metric,122.682,-87.886,-90,top
R12,330,R_0402_1005Metric,126.746,-90.426,90,top
R13,330,R_0402_1005Metric,120.65,-87.886,-90,top
R14,330,R_0402_1005Metric,122.682,-79.758,-90,top
R15,330,R_0402_1005Metric,116.586,-87.886,-90,top
R16,330,R_0402_1005Metric,114.554,-90.422,90,top
R17,330,R_0402_1005Metric,114.554,-87.886,-90,top
R18,330,R_0402_1005Metric,112.522,-79.758,-90,top
R19,330,R_0402_1005Metric,120.65,-79.758,-90,top
R20,330,R_0402_1005Metric,112.522,-90.422,90,top
R21,330,R_0402_1005Metric,112.522,-87.886,-90,top
R22,330,R_0402_1005Metric,118.618,-79.758,-90,top
R23,330,R_0402_1005Metric,116.586,-79.758,-90,top
R24,330,R_0402_1005Metric,118.618,-87.886,-90,top
R25,330,R_0402_1005Metric,116.586,-90.422,90,top
R26,330,R_0402_1005Metric,118.618,-90.422,90,top
U1,~,HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.4x7.8mm_Mask2.4x2.98mm,139.7,-63.5,90,top
U2,~,HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.4x7.8mm_Mask2.4x2.98mm,121.92,-63.5,90,top
XA1,Arduino_Uno_R3_Shield,Arduino_Uno_R3_Shield,86.36,-101.6,0,top
